数据大类,数据子类,数据项,接口名称,描述,限量,权限
股票数据,行情数据,实时排名（爬虫）,realtime_list,本接口是tushare org版实时接口的顺延，数据来自网络，且不进入tushare服务器，属于爬虫接口，数据包括该股票当日开盘以来的所有分笔成交数据,,0积分完全开放，但需要有tushare账号，如果没有账号请先
股票数据,行情数据,每日指标数据,daily_basic,获取全部股票每日重要的基本面指标，可用于选股分析、报表展示等。单次请求最大返回6000条数据，可按日线循环提取全部历史,,至少2000积分才可以调取，5000积分无总量限制
股票数据,行情数据,每日涨跌停价格,stk_limit,获取全市场（包含A/B股和基金）每日涨跌停价格，包括涨停价格，跌停价格等，每个交易日8点40左右更新当日股票涨跌停价格,单次最多提取5800条记录，可循环调取，总量不限制,用户积2000积分可调取，单位分钟有流控，积分越高流量越大，请自行提高积分
股票数据,行情数据,每日停复牌信息,suspend_d,按日期方式获取股票每日停复牌信息,,
股票数据,基础数据,沪深股通成份股,hsgt_top10,获取沪股通、深股通每日前十大成交详细数据，每天18~20点之间完成当日更新,,
股票数据,行情数据,港股通十大成交股,ggt_top10,获取港股通每日成交数据，其中包括沪市、深市详细数据，每天18~20点之间完成当日更新,,
股票数据,行情数据,港股通每日成交统计,ggt_daily,获取港股通每日成交信息，数据从2014年开始,单次最大1000，总量数据不限制,用户积2000积分可调取，5000积分以上频次相对较高，请自行提高积分
股票数据,行情数据,港股通每月成交统计,ggt_monthly,港股通每月成交信息，数据从2014年开始,单次最大1000,用户积5000积分可调取，请自行提高积分
股票数据,行情数据,备用行情,bak_daily,获取备用行情，包括特定的行情指标(数据从2017年中左右开始，早期有几天数据缺失，近期正常),单次最大7000行数据，可以根据日期参数循环获取，正式权限需要5000积分,
股票数据,财务数据,利润表,income,获取上市公司财务利润表数据,,用户需要至少2000积分才可以调取
股票数据,财务数据,资产负债表,balancesheet,获取上市公司资产负债表,,用户需要至少2000积分才可以调取
股票数据,财务数据,现金流量表,cashflow,获取上市公司现金流量表,,用户需要至少2000积分才可以调取
股票数据,财务数据,业绩预告,forecast,获取业绩预告数据,,用户需要至少2000积分才可以调取
股票数据,财务数据,业绩快报,express,获取上市公司业绩快报,,用户需要至少2000积分才可以调取
股票数据,财务数据,分红送股,dividend,分红送股数据,,用户需要至少2000积分才可以调取
股票数据,财务数据,财务指标数据,fina_indicator,获取上市公司财务指标数据，为避免服务器压力，现阶段每次请求最多返回100条记录，可通过设置日期多次请求获取更多数据,,用户需要至少2000积分才可以调取
股票数据,财务数据,财务审计意见,fina_audit,获取上市公司定期财务审计意见数据,,用户需要至少2000积分才可以调取
股票数据,财务数据,主营业务构成,fina_mainbz,获得上市公司主营业务构成，分地区和产品两种方式,,用户需要至少2000积分才可以调取
股票数据,财务数据,财报披露计划,disclosure_date,获取财报披露计划日期,单次最大3000，总量不限制,用户需要至少500积分才可以调取，积分越多权限越大
股票数据,参考数据,个股异常波动,stk_shock,根据证券交易所交易规则的有关规定，交易所每日发布股票交易异常波动情况,单次最大1000条，可根据代码或日期循环提取,需要6000积分可以调取
股票数据,参考数据,个股严重异常波动,stk_high_shock,根据证券交易所交易规则的有关规定，交易所每日发布股票交易严重异常波动情况,单次最大1000条，可根据代码或日期循环提取,需要6000积分可以调取
股票数据,参考数据,交易所重点提示证券,stk_alert,根据证券交易所交易规则的有关规定，交易所每日发布重点提示证券,单次最大1000条，可根据代码或日期循环提取,需要6000积分可以调取
股票数据,参考数据,前十大股东,top10_holders,获取上市公司前十大股东数据，包括持有数量和比例等信息,,需2000积分以上才可以调取本接口，5000积分以上频次会更高
股票数据,参考数据,前十大流通股东,top10_floatholders,获取上市公司前十大流通股东数据,,需2000积分以上才可以调取本接口，5000积分以上频次会更高
股票数据,特色数据,股权质押统计,pledge_stat,获取股票质押统计数据,单次最大1000,用户需要至少2000积分才可以调取
股票数据,特色数据,股权质押明细,pledge_detail,获取股票质押明细数据,单次最大1000,用户需要至少500积分才可以调取
股票数据,特色数据,股票回购,repurchase,获取上市公司回购股票数据,,用户需要至少600积分才可以调取
股票数据,特色数据,限售股解禁,share_float,获取限售股解禁,单次最大6000条，总量不限制,120分可调取，每分钟内限制次数，超过5000积分频次相对较高
股票数据,特色数据,大宗交易,block_trade,大宗交易,单次最大1000条，总量不限制,300积分可调取，每分钟内限制次数，超过5000积分频次相对较高
股票数据,参考数据,股票开户数据（停）,stk_account,获取股票账户开户数据，统计周期为一周,,600积分可调取
股票数据,参考数据,股票开户数据（旧）,stk_account_old,获取股票账户开户数据旧版格式数据，数据从2008年1月开始，到2015年5月29，新数据请通过,,600积分可调取
股票数据,参考数据,股东人数,stk_holdernumber,获取上市公司股东户数数据，数据不定期公布,"单次最大3000,总量不限制",600积分可调取，基础积分每分钟调取100次，5000积分以上频次相对较高
股票数据,基础数据,董监高持股,stk_holdertrade,获取上市公司增减持数据，了解重要股东近期及历史上的股份增减变化,单次最大提取3000行记录，总量不限制,用户需要至少2000积分才可以调取。基础积分有流量控制，积分越多权限越大，5000积分以上无明显限制，请自行提高积分
股票数据,特色数据,盈利预测数据,report_rc,获取券商（卖方）每天研报的盈利预测数据，数据从2010年开始，每晚19~22点更新当日数据,单次最大3000条，可分页和循环提取所有数据,本接口120积分可以试用，每天10次请求，正式权限需8000积分，每天可请求100000次，10000积分以上无总量限制
股票数据,特色数据,每日筹码及胜率,cyq_perf,获取A股每日筹码平均成本和胜率情况，每天18~19点左右更新，数据从2018年开始,单次最大5000条，可以分页或者循环提取,5000积分每天20000次，10000积分每天200000次，15000积分每天不限总量
股票数据,特色数据,筹码分布,cyq_chips,获取A股每日的筹码分布情况，提供各价位占比，数据从2018年开始，每天18~19点之间更新当日数据,单次最大2000条，可以按股票代码和日期循环提取,5000积分每天20000次，10000积分每天200000次，15000积分每天不限总量
股票数据,股票因子,股票技术面因子,stk_factor_pro,获取股票每日技术面因子数据，用于跟踪股票当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，_qfq表示前复权 _hfq表示后复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,单次调取最多返回10000条数据，可以通过日期参数循环,5000积分每分钟可以请求30次，8000积分以上每分钟500次
股票数据,特色数据,中央结算系统持股统计,ccass_hold,获取中央结算系统持股汇总数据，覆盖全部历史数据，根据交易所披露时间，当日数据在下一交易日早上9点前完成入库,单次最大5000条数据，可循环或分页提供全部,用户120积分可以试用看数据，5000积分每分钟可以请求300次，8000积分以上可以请求500次每分钟
股票数据,特色数据,中央结算系统持股明细,ccass_hold_detail,获取中央结算系统机构席位持股明细，数据覆盖,单次最大返回6000条数据，可以循环或分页提取,用户积8000积分可调取，每分钟可以请求300次
股票数据,特色数据,股票开盘集合竞价数据,stk_auction_o,股票开盘9:30集合竞价数据，每天盘后更新,单次请求最大返回10000行数据，可根据日期循环,开通了股票分钟权限后可获得本接口权限，具体参考
股票数据,特色数据,股票收盘集合竞价数据,stk_auction_c,股票收盘15:00集合竞价数据，每天盘后更新,单次请求最大返回10000行数据，可根据日期循环,开通了股票分钟权限后可获得本接口权限，具体参考
股票数据,特色数据,神奇九转指标,stk_nineturn,神奇九转（又称“九转序列”）是一种基于技术分析的股票趋势反转指标，其思想来源于技术分析大师汤姆·迪马克（Tom DeMark）的TD序列。该指标的核心功能是通过识别股价在上涨或下跌过程中连续9天的特定走势，来判断股价的潜在反转点，从而帮助投资者提高抄底和逃顶的成功率，日线级别配合60min的九转效果更好，数据从20230101开始,单次提取最大返回10000行数据，可通过股票代码和日期循环获取全部数据,达到6000积分可以调用
股票数据,特色数据,AH股比价,stk_ah_comparison,AH股比价数据，可根据交易日期获取历史,,5000积分起
股票数据,特色数据,机构调研数据,stk_surv,获取上市公司机构调研记录数据,单次最大获取100条数据，可循环或分页提取,用户积5000积分可使用
股票数据,特色数据,券商月度金股,broker_recommend,获取券商月度金股，一般1日~3日内更新当月数据,单次最大1000行数据，可循环提取,积分达到6000即可调用
股票数据,行情数据,融资融券,margin,获取融资融券每日交易汇总数据,单次请求最大返回4000行数据，可根据日期循环,2000积分可获得本接口权限，积分越高权限越大，具体参考
股票数据,行情数据,融资融券明细,margin_detail,获取沪深两市每日融资融券明细,单次请求最大返回6000行数据，可根据日期循环,2000积分可获得本接口权限，积分越高权限越大，具体参考
股票数据,两融及转融通,融资融券标的（盘前）,margin_secs,获取沪深京三大交易所融资融券标的（包括ETF），每天盘前更新,单次最大6000行数据，可根据股票代码、交易日期、交易所代码循环提取,2000积分可调取，5000积分无总量限制，积分越高权限越大，具体参考
股票数据,两融及转融通,转融券交易汇总(停）,slb_sec,转融通转融券交易汇总,单次最大可以提取5000行数据，可循环获取所有历史,2000积分每分钟请求200次，5000积分500次请求
股票数据,两融及转融通,转融资交易汇总,slb_len,转融通融资汇总,单次最大可以提取5000行数据，可循环获取所有历史,2000积分每分钟请求200次，5000积分500次请求
股票数据,两融及转融通,转融券交易明细(停）,slb_sec_detail,转融券交易明细,单次最大可以提取5000行数据，可循环获取所有历史,2000积分每分钟请求200次，5000积分500次请求
股票数据,两融及转融通,做市借券交易汇总(停）,slb_len_mm,做市借券交易汇总,单次最大可以提取5000行数据，可循环获取所有历史,2000积分每分钟请求200次，5000积分500次请求
股票数据,行情数据,个股资金流向,moneyflow,获取沪深A股票资金流向数据，分析大单小单成交情况，用于判别资金动向，数据开始于2010年,单次最大提取6000行记录，总量不限制,用户需要至少2000积分才可以调取，基础积分有流量控制，积分越多权限越大，请自行提高积分
股票数据,资金流向数据,个股资金流向（THS）,moneyflow_ths,获取同花顺个股资金流向数据，每日盘后更新,单次最大6000，可根据日期或股票代码循环提取数据,6000积分可调取
股票数据,资金流向数据,个股资金流向（DC）,moneyflow_dc,获取东方财富个股资金流向数据，每日盘后更新，数据开始于20230911,单次最大获取6000条数据，可根据日期或股票代码循环提取数据,用户需要至少5000积分才可以调取
股票数据,资金流向数据,板块资金流向（THS),moneyflow_cnt_ths,获取同花顺概念板块每日资金流向,单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据,6000积分可以调取
股票数据,资金流向数据,行业资金流向（THS）,moneyflow_ind_ths,获取同花顺行业资金流向，每日盘后更新,单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据,6000积分可以调取
股票数据,资金流向数据,板块资金流向（DC）,moneyflow_ind_dc,获取东方财富板块资金流向，每天盘后更新,单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据,6000积分可以调取
股票数据,资金流向数据,大盘资金流向（DC）,moneyflow_mkt_dc,获取东方财富大盘资金流向数据，每日盘后更新,单次最大3000条，可根据日期或日期区间循环获取,120积分可试用，6000积分可正式调取
股票数据,资金流向数据,沪深港通资金流向,moneyflow_hsgt,获取沪股通、深股通、港股通每日资金流向数据，每次最多返回300条记录，总量不限制,,
股票数据,特色数据,龙虎榜每日明细,top_list,龙虎榜每日交易明细,单次请求返回最大10000行数据，可通过参数循环获取全部历史,用户需要至少2000积分才可以调取
股票数据,特色数据,龙虎榜机构交易明细,top_inst,龙虎榜机构成交明细,单次请求最大返回10000行数据，可根据参数循环获取全部历史,用户需要至少5000积分才可以调取
股票数据,打板专题数据,同花顺涨跌停榜单,limit_list_ths,获取同花顺每日涨跌停榜单数据，历史数据从20231101开始提供，增量每天16点左右更新,单次最大4000条，可根据日期或股票代码循环提取,8000积分以上每分钟500次，每天总量不限制
股票数据,行情数据,涨跌停统计,limit_list_d,获取A股每日涨跌停、炸板数据情况，数据从2020年开始（不提供ST股票的统计）,单次最大可以获取2500条数据，可通过日期或者股票循环提取,5000积分每分钟可以请求200次每天总量1万次，8000积分以上每分钟500次每天总量不限制
股票数据,打板专题数据,涨停股票连板天梯,limit_step,获取每天连板个数晋级的股票，可以分析出每天连续涨停进阶个数，判断强势热度,单次最大2000行数据，可根据股票代码或者日期循环提取全部,8000积分以上每分钟500次，每天总量不限制
股票数据,打板专题数据,涨停最强板块统计,limit_cpt_list,获取每天涨停股票最多最强的概念板块，可以分析强势板块的轮动，判断资金动向,单次最大2000行数据，可根据股票代码或者日期循环提取全部,8000积分以上每分钟500次，每天总量不限制
股票数据,打板专题数据,同花顺行业概念板块,ths_index,获取同花顺板块指数，包括概念、行业、特色指数,单次最大返回5000行数据,本接口需有6000积分，，一次可提取全部数据，请勿循环提取
股票数据,打板专题数据,同花顺概念和行业指数行情,ths_daily,获取同花顺板块指数行情,单次最大3000行数据（需6000积分），可根据指数代码、日期参数循环提取,
股票数据,打板专题数据,同花顺行业概念成分,ths_member,获取同花顺概念板块成分列表,用户积累6000积分可调取，每分钟可调取200次，可按概念板块代码循环提取所有成分,
股票数据,打板专题数据,东方财富概念板块,dc_index,获取东方财富每个交易日的概念板块数据，支持按日期查询,单次最大可获取5000条数据，历史数据可根据日期循环获取,用户积累6000积分可调取
股票数据,特色数据,东方财富板块成分,dc_member,获取东方财富板块每日成分数据，可以根据概念板块代码和交易日期，获取历史成分,单次最大获取5000条数据，可以通过日期和代码循环获取,用户积累6000积分可调取
股票数据,打板专题数据,东财概念和行业指数行情,dc_daily,获取东财概念板块、行业指数板块、地域板块行情数据，历史数据开始于2020年,单次最大2000条数据，可根据日期参数循环获取,用户积累6000积分可调取
股票数据,打板专题数据,开盘竞价成交（当日）,stk_auction,获取当日个股和ETF的集合竞价成交情况，每天9点25~29分之间可以获取当日的集合竞价成交数据,单次最大返回8000行数据，可根据日期或代码循环获取历史,本接口是单独开权限的数据，已经开通了股票分钟权限的用户可自动获得本接口权限，单独申请权限
股票数据,打板专题数据,市场游资最全名录,hm_list,获取游资分类名录信息,单次最大1000条数据，目前总量未超过500,5000积分可以调取，积分获取办法请参阅
股票数据,打板专题数据,游资交易每日明细,hm_detail,获取每日游资交易明细，数据开始于2022年8。游资分类名录，请点击,单次最多提取2000条记录，可循环调取，总量不限制,用户积10000积分可调取使用，积分获取办法请参阅
股票数据,打板专题数据,同花顺App热榜数,ths_hot,获取同花顺App热榜数据，包括热股、概念板块、ETF、可转债、港美股等等，每日盘中提取4次，收盘后4次，最晚22点提取一次,单次最大2000条，可根据日期等参数循环获取全部数据,用户积6000积分可调取使用，积分获取办法请参阅
股票数据,特色数据,东方财富热榜,dc_hot,获取东方财富App热榜数据，包括A股市场、ETF基金、港股市场、美股市场等等，每日盘中提取4次，收盘后4次，最晚22点提取一次,单次最大2000条，可根据日期等参数循环获取全部数据,用户积8000积分可调取使用，积分获取办法请参阅
股票数据,打板专题数据,通达信板块信息,tdx_index,获取通达信板块基础信息，包括概念板块、行业、风格、地域等,单次最大1000条数据，可根据日期参数循环提取,用户积累6000积分可调取
股票数据,打板专题数据,通达信板块成分,tdx_member,获取通达信各板块成分股信息,单次最大3000条数据，可以根据日期和板块代码循环提取,用户积累6000积分可调取
股票数据,打板专题数据,通达信板块行情,tdx_daily,获取通达信各板块行情，包括成交和估值等数据,单次提取最大3000条数据，可根据板块代码和日期参数循环提取,用户积累6000积分可调取
股票数据,特色数据,开盘啦榜单,kpl_list,获取开盘啦涨停、跌停、炸板等榜单数据,单次最大8000条数据，可根据日期循环获取历史数据,5000积分每分钟可以请求200次每天总量1万次，8000积分以上每分钟500次每天总量不限制
股票数据,打板专题数据,题材成分（开盘啦）,kpl_concept_cons,获取开盘啦概念题材的成分股,单次最大3000条，可根据代码和日期循环获取全部数据,5000积分可提取数据
股票数据,打板专题数据,题材数据（东方财富）,dc_concept,获取东财概念题材列表，每天盘后更新,"单次最大5000，可根据日期循环获取历史数据,（数据从20260203开始）",6000积分可提取数据
股票数据,打板专题数据,题材成分（东方财富）,dc_concept_cons,获取东方财富概念题材的成分股，每天盘后更新,"单次最大3000，可根据日期循环获取历史数据,（数据从20260203开始）",6000积分可提取数据
指数数据,基础数据,指数基本信息,index_basic,获取指数基础信息,,
指数数据,行情数据,指数日线行情,index_daily,获取指数每日行情，还可以通过bar接口获取。由于服务器压力，目前规则是单次调取最多取8000行记录，可以设置start和end日期补全。指数行情也可以通过,,用户累积2000积分可调取，5000积分以上频次相对较高。本接口不包括申万行情数据，申万等行业指数行情需5000积分以上
指数数据,指数实时日线,指数实时日线,rt_idx_k,获取交易所指数实时日线行情，支持按代码或代码通配符一次性提取全部交易所指数实时日k线行情,,本接口是单独开权限的数据，单独申请权限
指数数据,指数实时分钟,指数实时分钟,rt_idx_min,获取交易所指数实时分钟数据，包括1~60min,单次最大1000行数据，可以通过股票代码提取数据，支持逗号分隔的多个代码同时提取,正式权限请参阅
指数数据,行情数据,指数周线行情,index_weekly,获取指数周线行情,单次最大1000行记录，可分批获取，总量不限制,用户需要至少600积分才可以调取，积分越多频次越高
指数数据,指数历史分钟,指数历史分钟,idx_mins,获取交易所指数分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式,单次最大8000行数据，可以通过指数代码和时间循环获取，本接口可以提供超过10年历史分钟数据,需单独开权限，正式权限请参阅
指数数据,行情数据,指数月线行情,index_monthly,"获取指数月线行情,每月更新一次","单次最大1000行记录,可多次获取,总量不限制",用户需要至少600积分才可以调取，积分越多频次越高
指数数据,成分数据,指数成分和权重,index_weight,获取各类指数成分和权重，,,用户需要至少2000积分才可以调取
指数数据,大盘数据,大盘指数每日指标,index_dailybasic,目前只提供上证综指，深证成指，上证50，中证500，中小板指，创业板指的每日指标数据,,
指数数据,行业分类,申万行业分类,index_classify,获取申万行业分类，可以获取申万2014年版本（28个一级分类，104个二级分类，227个三级分类）和2021年本版（31个一级分类，134个二级分类，346个三级分类）列表信息,,用户需2000积分可以调取
指数数据,行业分类,申万行业成分,index_member_all,按三级分类提取申万行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,单次最大2000行，总量不限制,用户需2000积分可调取，积分获取方法请参阅
指数数据,申万行业指数日行情,申万行业指数日行情,sw_daily,获取申万行业日线行情（默认是申万2021版行情）,单次最大4000行数据，可通过指数代码和日期参数循环提取，5000积分可调取,
指数数据,申万实时行情,申万实时行情,rt_sw_k,获取申万行业指数的最新截面数据,,本接口是单独开权限的数据，单独申请权限
指数数据,中信行业成分,中信行业成分,ci_index_member,按三级分类提取中信行业成分，可提供某个分类的所有成分，也可按股票代码提取所属分类，参数灵活,单次最大5000行，总量不限制,用户需5000积分可调取，积分获取方法请参阅
指数数据,中信行业指数日行情,中信行业指数日行情,ci_daily,获取中信行业指数日线行情,单次最大4000条，可循环提取,5000积分可调取，可通过指数代码和日期参数循环获取所有数据
指数数据,国际指数,国际指数,index_global,获取国际主要指数日线行情,单次最大提取4000行情数据，可循环获取，总量不限制,用户积6000积分可调取，积分越高频次越高，请自行提高积分
指数数据,指数技术面因子(专业版),指数技术面因子(专业版),idx_factor_pro,获取指数每日技术面因子数据，用于跟踪指数当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估，指数包括大盘指数 申万行业指数 中信指数,单次最大8000,5000积分每分钟可以请求30次，8000积分以上每分钟500次
指数数据,深圳市场每日交易情况,深圳市场每日交易情况,sz_daily_info,获取深圳市场每日交易概况,单次最大2000，可循环获取，总量不限制,用户积2000积分可调取， 频次有限制，积分越高每分钟调取频次越高，5000积分以上频次相对较高，积分获取方法请参阅
ETF专题,ETF基本信息,ETF基本信息,etf_basic,获取国内ETF基础信息，包括了QDII。数据来源与沪深交易所公开披露信息,单次请求最大放回5000条数据（当前ETF总数未超过2000）,用户积8000积分可调取
ETF专题,ETF基准指数,ETF基准指数,etf_index,获取ETF基准指数列表信息,单次请求最大返回5000行数据（当前未超过2000个）,用户积累8000积分可调取
ETF专题,ETF实时分钟,ETF实时分钟,rt_min,获取ETF实时分钟数据，包括1~60min,单次最大1000行数据，可以通过ETF代码提取数据，支持逗号分隔的多个代码同时提取,正式权限请参阅
ETF专题,ETF数据,ETF实时日线,rt_etf_k,获取ETF实时日k线行情，支持按ETF代码或代码通配符一次性提取全部ETF实时日k线行情,,本接口是单独开权限的数据，单独申请权限
ETF专题,ETF数据,场内基金日线行情,fund_daily,获取ETF行情每日收盘后成交数据，历史超过10年,单次最大5000行记录，可以根据ETF代码和日期循环获取历史，总量不限制,需要至少5000积分才可以调取，5000积分频次更高
ETF专题,ETF数据,ETF复权因子,fund_adj,获取基金复权因子，用于计算基金复权行情,单次最大提取2000行记录，可循环提取，数据总量不限制,用户积600积分可调取，超过5000积分以上频次相对较高
ETF专题,ETF份额规模,ETF份额规模,etf_share_size,获取沪深ETF每日份额和规模数据，能体现规模份额的变化，掌握ETF资金动向，同时提供每日净值和收盘价；数据指标是分批入库，建议在每日19点后提取；另外，涉及海外的ETF数据更新会晚一些属于正常情况,单次最大5000条，可根据代码或日期循环提取,需要8000积分可以调取
ETF专题,ETF实时参考,ETF实时参考,rt_etf_sz_iopv,ETF实时净值和申购赎回数据参考，目前只提供深市,单次最大5000条，完全覆盖当前总量,本接口为单独开权限的接口，跟积分多个无关。正式权限请参阅
ETF专题,ETF数据,ETF基金规模,fund_share,获取基金规模数据，包含上海和深圳ETF基金,单次最大提取2000行数据,用户需要至少2000积分可以调取，5000积分以上频次较高
公募基金,基金基础,公募基金列表,fund_basic,获取公募基金数据列表，包括场内和场外基金,单次最大可以提取15000条数据,用户需要2000积分才可以调取，，5000积分以上权限更高
公募基金,基金基础,公募基金公司,fund_company,获取公募基金管理人列表,,用户需要1500积分才可以调取，一次可以提取全部数据
公募基金,基金经理,基金经理,fund_manager,获取公募基金经理数据，包括基金经理简历等数据,单次最大5000，支持分页提取数据,用户有500积分可获取数据，2000积分以上可以提高访问频次
公募基金,基金净值,公募基金净值,fund_nav,获取公募基金净值数据,,用户需要至少2000积分才可以调取
公募基金,基金分红,公募基金分红,fund_div,获取公募基金分红数据,,用户需要至少400积分才可以调取
公募基金,基金持仓,公募基金持仓数据,fund_portfolio,获取公募基金持仓数据，季度更新,,5000积分以上每分钟请求200次，8000积分以上每分钟请求500次
公募基金,基金技术面因子(专业版),基金技术面因子(专业版),fund_factor_pro,获取场内基金每日技术面因子数据，用于跟踪场内基金当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,单次最大8000,5000积分每分钟可以请求30次，8000积分以上每分钟500次
期货数据,合约数据,期货合约列表,fut_basic,获取期货合约列表数据,单次最大10000,用户需要至少2000积分才可以调取
期货数据,日历数据,期货交易日历,trade_cal,获取各大期货交易所交易日历数据,,需2000积分才可以提取数据
期货数据,行情数据,期货日线行情,fut_daily,期货日线行情数据,单次最大2000条，总量不限制,用户需要至少2000积分才可以调取，未来可能调整积分，请尽量多的积累积分
期货数据,期货周/月线行情(每日更新),期货周/月线行情(每日更新),fut_weekly_monthly,期货周/月线行情(每日更新),单次最大6000,
期货数据,历史分钟,期货历史分钟,ft_mins,获取全市场期货合约分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK和 http Restful API两种方式，如果需要主力合约分钟，请先通过主力,单次最大8000行数据，可以通过期货合约代码和时间循环获取，本接口可以提供超过10年历史分钟数据,120积分可以调取2次接口查看数据，正式权限请参阅
期货数据,实时分钟行情,实时分钟行情,rt_fut_min,获取全市场期货合约实时分钟数据，支持1min/5min/15min/30min/60min行情，提供Python SDK、 http Restful API和websocket三种方式，如果需要主力合约分钟，请先通过主力,每分钟可以请求500次，支持多个合约同时提取,需单独开权限，正式权限请参阅
期货数据,仓单数据,仓单日报,fut_wsr,获取仓单日报数据，了解各仓库/厂库的仓单变化,单次最大1000，总量不限制,用户需要至少2000积分才可以调取
期货数据,结算数据,结算参数,fut_settle,获取每日结算参数数据，包括交易和交割费率等,单次最大返回1600行数据，可根据日期循环，总量不限制,用户需要至少2000积分才可以调取
